COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
9005,1.70%,5.10%,2.10%,9.80%,81.20%
9007,0.30%,0.70%,5.50%,12.80%,80.70%
9009,2.30%,1.40%,5.30%,11.50%,79.50%
9011,2.50%,2.10%,6.60%,14.20%,74.70%
9013,0.80%,0.80%,2.70%,14.70%,81.00%
9015,2.20%,4.10%,8.20%,13.70%,71.80%
10001,2.60%,0.60%,10.60%,5.10%,81.10%
10003,2.70%,1.30%,4.10%,13.30%,78.60%
10005,0.50%,0.10%,3.50%,10.30%,85.60%
11001,1.20%,1.30%,6.90%,16.40%,74.30%
12001,0.10%,2.40%,5.30%,17.00%,75.10%
12003,8.70%,7.60%,18.00%,21.50%,44.20%
12005,6.50%,10.90%,7.60%,20.20%,54.80%
12007,10.60%,16.80%,17.20%,17.30%,38.10%
12009,6.80%,7.30%,9.60%,15.70%,60.70%
12011,2.60%,2.30%,4.30%,11.70%,79.10%
12013,3.40%,5.50%,13.80%,26.70%,50.70%
12015,5.10%,4.90%,10.10%,15.80%,64.00%
12017,9.00%,3.60%,8.70%,17.80%,60.90%
12019,5.50%,6.70%,15.00%,20.90%,52.00%
12021,4.00%,2.30%,6.70%,21.20%,65.80%
12023,4.70%,2.60%,28.80%,25.40%,38.50%
12027,2.30%,6.40%,5.60%,14.20%,71.50%
12029,7.10%,9.50%,11.90%,31.80%,39.70%
12031,4.90%,4.20%,8.60%,19.40%,62.90%
12033,1.90%,5.20%,9.50%,31.00%,52.40%
12035,7.90%,5.00%,11.30%,15.70%,60.20%
12037,2.20%,10.10%,23.70%,22.80%,41.20%
12039,6.00%,3.30%,10.40%,22.70%,57.50%
12041,1.60%,15.10%,6.90%,32.40%,44.00%
12043,4.70%,8.20%,9.80%,9.60%,67.70%
12045,4.60%,12.50%,12.00%,24.90%,46.00%
12047,10.10%,7.10%,23.50%,22.70%,36.50%
12049,11.40%,4.10%,17.90%,18.60%,48.00%
12051,4.60%,4.20%,11.20%,15.00%,65.00%
12053,9.00%,4.00%,9.10%,19.00%,58.90%
12055,2.50%,5.60%,14.50%,13.80%,63.50%
12057,2.30%,3.10%,6.90%,15.50%,72.20%
12059,17.00%,7.70%,8.10%,11.10%,56.20%
12061,5.40%,6.50%,8.20%,19.30%,60.70%
12063,6.40%,10.80%,12.90%,17.40%,52.60%
12065,1.90%,1.70%,9.90%,18.30%,68.20%
12067,10.20%,8.10%,22.00%,20.80%,38.90%
12069,4.70%,6.20%,7.40%,18.50%,63.20%
12071,5.20%,5.00%,7.30%,17.60%,64.80%
12073,5.10%,2.20%,7.10%,15.60%,70.00%
12075,1.70%,13.20%,7.20%,18.70%,59.20%
12077,2.20%,2.30%,20.50%,26.80%,48.20%
12079,16.40%,8.50%,14.80%,26.40%,34.00%
12081,7.40%,3.70%,6.20%,20.10%,62.60%
12083,4.60%,8.70%,12.10%,20.30%,54.30%
12085,2.70%,1.80%,6.60%,16.90%,71.90%
12086,3.20%,2.30%,6.00%,12.80%,75.60%
12087,0.70%,0.10%,1.40%,15.90%,81.90%
12089,9.00%,7.00%,14.70%,22.30%,47.00%
12091,9.10%,8.30%,14.70%,21.00%,46.90%
12093,1.60%,3.40%,6.40%,17.10%,71.50%
12095,2.00%,2.00%,7.20%,16.40%,72.40%
12097,2.50%,2.20%,5.80%,17.60%,72.00%
12099,3.00%,2.00%,5.00%,11.60%,78.40%
12101,2.70%,2.90%,5.50%,17.90%,70.90%
12103,2.50%,1.90%,7.40%,13.30%,75.00%
12105,5.00%,6.30%,8.50%,17.20%,63.00%
12107,6.80%,5.00%,11.40%,18.60%,58.10%
12109,4.70%,7.10%,9.70%,22.30%,56.10%
12111,7.70%,2.20%,8.00%,17.30%,64.80%
12113,4.70%,6.80%,16.60%,26.50%,45.30%
12115,1.70%,3.10%,7.30%,17.50%,70.40%
12117,3.70%,3.90%,6.60%,14.10%,71.70%
12119,3.70%,3.60%,6.40%,23.50%,62.80%
12121,10.50%,5.50%,24.40%,22.70%,36.90%
12123,10.30%,8.60%,19.00%,14.50%,47.60%
12125,4.40%,4.00%,17.60%,26.70%,47.30%
12127,3.50%,6.60%,8.90%,19.20%,61.80%
12129,3.20%,9.20%,17.20%,27.50%,42.90%
12131,9.20%,6.00%,9.20%,24.40%,51.20%
12133,13.80%,8.50%,6.20%,15.80%,55.70%
13001,8.50%,11.70%,23.00%,15.20%,41.60%
13003,5.90%,10.00%,17.90%,21.70%,44.50%
13005,7.10%,13.20%,18.70%,18.80%,42.10%
13007,2.70%,4.80%,5.40%,12.70%,74.30%
13009,2.00%,8.90%,10.70%,29.00%,49.40%
13011,13.60%,10.30%,12.50%,23.80%,39.90%
13013,6.30%,8.60%,9.20%,19.00%,56.80%
13015,21.50%,5.00%,12.30%,14.30%,47.00%
13017,12.90%,7.80%,10.90%,20.20%,48.30%
13019,7.30%,9.80%,15.60%,21.40%,46.00%
13021,4.30%,9.40%,17.60%,20.10%,48.70%
13023,8.90%,3.10%,11.70%,25.60%,50.80%
13025,4.70%,12.90%,15.00%,16.40%,51.00%
13027,9.20%,16.50%,12.40%,23.50%,38.50%
13029,3.30%,3.90%,9.50%,23.80%,59.50%
13031,5.30%,4.90%,16.30%,31.00%,42.40%
13033,10.50%,10.90%,8.70%,20.80%,49.20%
13035,12.50%,3.70%,14.40%,16.30%,53.00%
13037,1.30%,3.50%,4.30%,17.20%,73.70%
13039,13.60%,12.50%,17.00%,11.30%,45.60%
13043,3.70%,4.50%,17.70%,26.40%,47.70%
13045,8.90%,13.30%,15.40%,16.80%,45.70%
13047,14.30%,15.20%,11.40%,21.70%,37.50%
13049,6.50%,9.40%,15.00%,19.60%,49.50%
13051,3.50%,4.00%,14.40%,15.80%,62.40%
13053,6.10%,7.20%,10.80%,21.40%,54.50%
13055,11.60%,10.20%,18.70%,14.30%,45.10%
13057,4.90%,5.40%,10.00%,21.30%,58.40%
13059,5.40%,5.70%,6.00%,22.60%,60.30%
13061,2.80%,6.60%,12.00%,22.30%,56.20%
13063,3.80%,5.40%,12.50%,15.90%,62.40%
13065,6.00%,5.80%,13.40%,16.80%,58.00%
13067,3.90%,4.90%,11.60%,22.50%,57.20%
13069,8.50%,12.40%,16.40%,22.20%,40.40%
13071,10.80%,19.10%,7.40%,23.30%,39.40%
13073,6.10%,6.40%,9.50%,23.40%,54.70%
13075,9.80%,13.40%,12.30%,20.30%,44.10%
13077,10.50%,5.30%,18.30%,20.40%,45.50%
13079,5.70%,5.10%,23.10%,19.20%,46.80%
13081,11.90%,2.30%,6.00%,16.30%,63.50%
13083,12.80%,22.20%,13.00%,24.90%,27.00%
13085,4.90%,9.00%,12.80%,16.20%,57.10%
13087,9.30%,4.00%,17.10%,18.00%,51.60%
13089,3.60%,2.80%,7.50%,15.60%,70.40%
13091,14.50%,2.50%,15.00%,23.60%,44.30%
13093,7.70%,3.40%,5.80%,20.40%,62.70%
13095,3.30%,3.70%,4.50%,15.90%,72.60%
13097,8.30%,3.70%,9.00%,19.80%,59.10%
13099,4.50%,6.20%,15.60%,25.30%,48.50%
13101,9.70%,7.30%,18.20%,20.20%,44.60%
13103,4.40%,6.40%,14.50%,27.20%,47.50%
13105,13.20%,17.70%,8.10%,10.70%,50.30%
13107,6.20%,4.40%,14.20%,25.20%,50.00%
13109,3.00%,7.80%,22.90%,29.00%,37.20%
13111,7.50%,8.80%,12.50%,11.20%,60.00%
13113,6.00%,8.60%,13.10%,21.80%,50.50%
13115,18.60%,3.60%,23.40%,14.80%,39.50%
13117,3.50%,4.80%,8.30%,19.30%,64.10%
13119,16.80%,7.40%,11.70%,21.50%,42.50%
13121,2.60%,3.60%,8.90%,18.70%,66.20%
13123,12.80%,4.20%,8.70%,19.80%,54.50%
13125,15.60%,6.60%,10.70%,13.00%,54.10%
13127,4.80%,7.10%,14.50%,25.10%,48.50%
13129,17.20%,10.00%,20.10%,15.70%,36.90%
13131,6.30%,13.90%,11.60%,26.40%,41.70%
13133,6.20%,4.60%,5.70%,17.60%,65.80%
13135,3.60%,5.40%,8.10%,19.00%,63.90%
13137,6.30%,10.00%,11.60%,29.20%,43.00%
13139,6.10%,6.90%,12.80%,19.80%,54.50%
13141,4.30%,11.10%,10.20%,16.80%,57.50%
13143,18.40%,12.30%,16.50%,18.40%,34.50%
13145,9.30%,8.10%,6.10%,21.30%,55.10%
13147,9.20%,6.10%,14.00%,20.70%,50.00%
13149,12.60%,9.40%,16.60%,14.40%,47.10%
13151,10.30%,4.80%,9.10%,18.10%,57.80%
13153,3.20%,7.90%,13.60%,17.20%,58.10%
13155,9.80%,9.10%,12.60%,22.40%,46.00%
13157,12.50%,8.50%,11.70%,24.00%,43.40%
13159,8.20%,5.90%,18.10%,11.80%,56.00%
13161,12.40%,13.80%,16.50%,18.30%,39.00%
13163,25.10%,5.50%,9.90%,10.20%,49.30%
13165,11.40%,5.30%,8.40%,26.10%,48.80%
13167,11.90%,5.30%,10.90%,25.10%,46.80%
13169,4.90%,8.70%,22.60%,20.90%,43.00%
13171,7.00%,6.00%,17.10%,29.30%,40.60%
13173,10.20%,7.00%,14.50%,18.10%,50.20%
13175,12.20%,5.60%,14.10%,29.10%,39.10%
13177,3.50%,3.30%,3.90%,16.20%,73.20%
13179,0.70%,9.90%,6.60%,21.50%,61.40%
13181,7.30%,10.40%,11.10%,23.30%,47.90%
13183,1.40%,11.90%,8.60%,15.90%,62.10%
13185,10.80%,10.10%,14.90%,20.80%,43.50%
13187,3.50%,8.60%,13.00%,24.50%,50.40%
13189,7.20%,5.30%,12.30%,26.50%,48.80%
13191,3.40%,7.60%,18.80%,22.10%,48.10%
13193,7.80%,4.90%,11.30%,21.00%,55.00%
13195,16.50%,8.40%,5.50%,18.60%,51.10%
13197,8.40%,12.00%,16.70%,19.60%,43.30%
13199,10.90%,8.60%,13.80%,15.00%,51.70%
13201,6.40%,5.60%,18.20%,15.90%,53.90%
13205,4.40%,11.20%,5.50%,15.90%,63.00%
13207,7.20%,3.50%,18.40%,25.30%,45.50%
13209,11.40%,8.30%,17.40%,22.80%,40.10%
13211,6.10%,6.40%,9.30%,16.80%,61.40%
13213,19.30%,3.00%,18.20%,17.70%,41.70%
13215,6.30%,7.30%,8.30%,22.50%,55.50%
