COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
29013,13.80%,6.80%,11.20%,23.70%,44.40%
29015,18.80%,12.20%,16.80%,27.70%,24.50%
29017,9.70%,15.20%,13.20%,26.80%,35.00%
29019,7.30%,7.50%,11.30%,22.40%,51.50%
29021,12.10%,18.30%,17.50%,21.90%,30.20%
29023,18.90%,17.50%,16.00%,13.50%,34.20%
29025,10.90%,13.30%,21.10%,18.00%,36.70%
29027,12.30%,12.00%,21.70%,19.60%,34.40%
29029,26.60%,9.30%,14.70%,12.40%,37.10%
29031,8.00%,10.90%,13.70%,28.50%,38.90%
29033,15.50%,13.00%,7.80%,28.60%,35.10%
29035,15.90%,28.50%,15.10%,12.50%,28.10%
29037,2.70%,8.20%,17.00%,18.50%,53.50%
29039,27.50%,5.60%,17.30%,15.50%,34.10%
29041,11.70%,14.10%,8.40%,27.80%,38.00%
29043,13.00%,11.30%,5.30%,25.30%,45.10%
29045,15.40%,13.80%,16.50%,22.30%,32.00%
29047,3.30%,3.70%,7.60%,19.90%,65.50%
29049,6.60%,10.30%,10.60%,20.90%,51.70%
29051,8.70%,18.50%,10.70%,18.70%,43.40%
29053,6.00%,9.00%,12.70%,18.30%,54.00%
29055,16.70%,14.80%,13.60%,15.90%,39.10%
29057,31.20%,4.40%,13.80%,13.60%,36.90%
29059,16.50%,14.30%,16.70%,15.40%,37.10%
29061,12.40%,16.60%,17.20%,24.70%,29.10%
29063,14.40%,13.30%,15.90%,24.10%,32.30%
29065,16.70%,16.90%,17.50%,19.60%,29.30%
29067,28.50%,14.90%,7.00%,16.70%,32.80%
29069,6.80%,8.50%,15.40%,21.50%,47.80%
29071,12.20%,8.60%,10.00%,23.30%,45.80%
29073,8.60%,20.70%,16.80%,13.50%,40.40%
29075,10.10%,16.60%,18.20%,29.90%,25.10%
29077,9.90%,8.20%,12.80%,27.20%,41.80%
29079,19.50%,19.30%,12.90%,24.70%,23.60%
29081,17.30%,12.80%,21.50%,24.80%,23.60%
29083,12.80%,14.70%,11.70%,34.50%,26.20%
29085,18.20%,18.00%,15.90%,16.40%,31.60%
29087,12.90%,22.30%,15.60%,23.20%,26.00%
29089,7.60%,9.60%,10.70%,19.10%,53.10%
29091,30.10%,14.20%,20.80%,10.70%,24.20%
29093,13.30%,9.10%,7.20%,28.00%,42.30%
29095,2.70%,6.60%,8.80%,21.00%,60.90%
29097,13.80%,15.20%,14.70%,17.60%,38.80%
29099,4.20%,11.70%,17.80%,21.60%,44.70%
29101,16.80%,10.70%,2.60%,18.90%,51.10%
29103,8.20%,11.20%,18.20%,27.10%,35.30%
29105,31.30%,12.10%,17.20%,10.70%,28.70%
29107,3.30%,9.80%,5.20%,24.70%,57.10%
29109,24.10%,5.00%,25.10%,22.20%,23.70%
29111,16.40%,10.90%,17.70%,23.00%,32.00%
29113,6.30%,11.90%,23.60%,28.20%,29.90%
29115,12.60%,15.60%,11.80%,27.40%,32.60%
29117,15.00%,22.80%,11.10%,25.00%,26.00%
29119,15.20%,14.50%,8.90%,13.80%,47.60%
29121,11.80%,12.70%,15.80%,25.80%,33.80%
29123,8.20%,12.40%,9.20%,29.60%,40.60%
29125,9.80%,15.80%,12.10%,19.80%,42.40%
29127,17.80%,9.30%,21.20%,18.50%,33.20%
29129,23.00%,13.00%,21.60%,16.20%,26.10%
29131,20.00%,12.60%,13.70%,14.70%,39.00%
29133,12.90%,9.70%,14.10%,22.10%,41.30%
29135,10.20%,26.80%,11.00%,20.20%,31.80%
29137,16.40%,10.50%,18.20%,20.30%,34.60%
29139,6.20%,7.70%,16.10%,30.70%,39.20%
29141,21.10%,11.80%,17.50%,19.30%,30.40%
29143,9.80%,11.20%,14.90%,18.00%,46.10%
29145,15.60%,12.10%,14.00%,21.10%,37.30%
29147,9.30%,19.30%,16.00%,28.30%,27.20%
29149,14.20%,19.60%,29.30%,12.90%,24.10%
29151,6.70%,13.30%,17.10%,16.00%,46.90%
29153,17.90%,12.80%,12.80%,13.00%,43.50%
29155,7.90%,13.40%,17.50%,20.40%,40.70%
29157,3.20%,10.20%,15.60%,30.20%,40.80%
29159,18.50%,11.10%,15.60%,25.40%,29.40%
29161,13.90%,17.70%,11.90%,24.40%,32.00%
29163,8.20%,12.80%,36.30%,26.30%,16.40%
29165,4.40%,4.00%,8.80%,18.90%,63.80%
29167,18.30%,10.90%,10.30%,18.90%,41.60%
29169,20.80%,10.30%,16.00%,17.50%,35.40%
29171,10.70%,11.10%,20.90%,19.10%,38.20%
29173,16.00%,10.60%,24.80%,19.60%,29.00%
29175,16.30%,8.80%,14.50%,19.40%,41.00%
29177,7.30%,12.40%,23.30%,18.40%,38.60%
29179,13.70%,18.30%,8.50%,22.90%,36.60%
29181,12.60%,25.40%,16.10%,15.00%,30.80%
29183,4.10%,5.00%,9.10%,28.60%,53.20%
29185,16.30%,14.50%,18.20%,27.90%,23.00%
29186,2.50%,14.00%,14.40%,31.10%,38.00%
29187,10.30%,12.00%,8.50%,26.40%,42.80%
29189,2.40%,2.80%,6.90%,18.20%,69.70%
29195,8.30%,23.00%,11.20%,18.60%,38.90%
29197,5.00%,10.10%,21.10%,22.20%,41.60%
29199,7.30%,11.20%,20.90%,24.60%,36.10%
29201,12.50%,11.50%,12.80%,24.70%,38.50%
29203,21.20%,25.00%,19.80%,9.80%,24.30%
29205,14.20%,14.40%,16.00%,23.80%,31.70%
29207,13.70%,12.00%,15.60%,17.60%,41.10%
29209,5.60%,9.30%,17.10%,24.70%,43.40%
29211,13.60%,12.70%,17.40%,22.30%,34.10%
29213,5.30%,7.90%,21.40%,15.50%,49.90%
29215,30.90%,17.10%,23.10%,10.60%,18.30%
29217,16.40%,10.50%,11.00%,12.50%,49.60%
29219,11.00%,8.30%,11.10%,25.00%,44.60%
29221,18.10%,9.20%,11.80%,19.10%,41.80%
29223,19.10%,17.10%,13.00%,19.60%,31.30%
29225,29.70%,9.00%,16.20%,13.70%,31.30%
29227,9.80%,17.00%,21.80%,27.20%,24.10%
29229,41.90%,13.90%,18.70%,10.00%,15.50%
29510,3.90%,1.70%,8.00%,13.70%,72.60%
30001,16.50%,12.70%,10.20%,18.00%,42.50%
30003,13.60%,19.60%,14.70%,25.00%,27.10%
30005,28.70%,8.00%,18.80%,25.20%,19.20%
30007,16.50%,9.80%,9.90%,19.90%,43.90%
30009,14.00%,16.90%,16.30%,26.00%,26.70%
30011,12.30%,12.10%,12.70%,21.20%,41.70%
30013,17.00%,14.30%,16.00%,14.50%,38.20%
30015,19.60%,13.50%,17.10%,15.20%,34.60%
30017,8.50%,26.10%,14.40%,28.00%,23.00%
30019,17.20%,24.40%,18.60%,26.90%,12.90%
30021,13.90%,24.90%,17.60%,27.40%,16.10%
30023,14.10%,17.30%,6.40%,13.30%,48.90%
30025,11.80%,19.90%,14.60%,29.60%,24.00%
30027,28.40%,11.10%,15.70%,18.70%,26.10%
30029,7.60%,16.70%,15.90%,22.40%,37.40%
30031,13.20%,9.30%,11.50%,21.30%,44.80%
30033,13.40%,19.90%,18.00%,26.50%,22.10%
30035,8.40%,15.40%,17.00%,19.60%,39.60%
30037,13.40%,18.10%,16.80%,24.60%,27.10%
30039,11.60%,17.00%,10.90%,18.30%,42.20%
30041,27.00%,10.60%,15.90%,19.20%,27.30%
30043,15.80%,11.10%,7.60%,16.90%,48.70%
30045,23.30%,11.00%,17.00%,13.90%,34.90%
30047,8.70%,23.00%,12.80%,20.60%,34.90%
30049,14.90%,10.70%,8.00%,18.50%,47.90%
30051,18.80%,14.60%,16.70%,14.70%,35.20%
30053,11.80%,17.40%,11.80%,18.80%,40.20%
30055,14.20%,27.40%,17.90%,26.70%,13.90%
30057,17.20%,11.30%,10.50%,21.00%,40.00%
30059,18.80%,9.30%,12.00%,20.30%,39.60%
30061,9.70%,27.80%,11.90%,18.30%,32.30%
30063,9.10%,20.00%,12.80%,20.90%,37.20%
30065,12.80%,17.80%,16.90%,25.70%,26.80%
30067,11.40%,9.90%,10.60%,21.40%,46.70%
30069,15.70%,15.40%,17.40%,24.70%,26.90%
30071,22.90%,11.40%,21.40%,29.60%,14.70%
30073,12.30%,17.50%,17.00%,14.20%,39.00%
30075,19.30%,24.00%,10.60%,18.80%,27.30%
30077,11.80%,14.40%,6.90%,14.00%,53.00%
30079,10.10%,27.00%,17.10%,28.30%,17.60%
30081,12.10%,17.70%,11.40%,19.50%,39.30%
30083,17.60%,21.60%,16.20%,25.50%,19.10%
30085,16.90%,24.60%,17.80%,26.10%,14.60%
30087,12.60%,21.40%,14.30%,24.80%,26.90%
30089,15.00%,20.40%,19.10%,17.20%,28.30%
30091,17.90%,20.30%,17.80%,25.60%,18.50%
30093,15.80%,13.80%,5.90%,14.30%,50.30%
30095,12.60%,17.30%,16.00%,25.50%,28.60%
30097,11.60%,15.70%,12.60%,22.70%,37.40%
30099,13.40%,17.60%,14.70%,15.20%,39.10%
30101,13.80%,16.50%,17.80%,13.50%,38.40%
30103,12.20%,18.80%,16.00%,25.90%,27.00%
30105,17.20%,23.50%,18.70%,29.10%,11.50%
30107,21.40%,13.50%,14.40%,18.90%,31.80%
30109,16.50%,21.90%,16.10%,26.70%,18.70%
30111,12.90%,17.70%,16.70%,26.20%,26.50%
31001,5.70%,12.80%,8.90%,29.10%,43.50%
31003,19.80%,9.60%,19.10%,16.10%,35.40%
31005,14.40%,13.50%,11.70%,24.80%,35.60%
31007,24.90%,12.80%,13.40%,21.60%,27.20%
31009,17.60%,10.30%,12.30%,30.50%,29.30%
31011,15.60%,8.00%,15.10%,19.70%,41.50%
31013,30.30%,11.20%,9.60%,28.50%,20.30%
31015,8.10%,15.90%,26.70%,18.40%,30.90%
31017,14.10%,8.20%,16.70%,27.50%,33.50%
31019,6.50%,11.30%,10.40%,32.70%,39.10%
31021,6.60%,6.30%,9.00%,32.10%,46.00%
31023,2.70%,10.50%,26.30%,23.80%,36.50%
31025,4.20%,4.90%,11.90%,24.00%,55.00%
31027,20.70%,16.30%,16.10%,17.70%,29.30%
31029,5.50%,19.20%,15.60%,23.20%,36.40%
31031,15.80%,4.20%,9.50%,37.70%,32.80%
31033,11.60%,15.90%,16.40%,33.80%,22.30%
31035,6.40%,13.20%,12.40%,28.00%,40.00%
31037,5.40%,8.90%,22.80%,28.70%,34.10%
31039,14.70%,6.60%,12.20%,34.70%,31.70%
31041,14.30%,10.40%,11.20%,32.80%,31.40%
31043,11.30%,16.70%,13.10%,16.30%,42.50%
31045,22.40%,10.30%,11.00%,32.10%,24.20%
31047,9.60%,11.40%,11.50%,34.80%,32.80%
31049,9.30%,14.70%,13.80%,26.70%,35.50%
31051,16.30%,16.00%,13.10%,16.20%,38.30%
31053,14.00%,3.60%,13.60%,37.40%,31.40%
31055,9.10%,6.90%,9.50%,26.30%,48.20%
31057,5.30%,23.20%,17.30%,23.10%,31.10%
31059,5.30%,9.60%,26.30%,37.50%,21.30%
31061,8.30%,16.80%,8.30%,28.80%,37.80%
31063,9.40%,12.10%,13.60%,33.60%,31.30%
31065,10.10%,13.50%,12.90%,31.90%,31.50%
31067,12.70%,3.00%,10.30%,26.00%,48.00%
31069,20.20%,12.40%,11.90%,26.80%,28.80%
31071,16.80%,8.40%,14.20%,23.60%,37.00%
31073,8.60%,12.00%,11.50%,34.70%,33.30%
31075,19.90%,11.60%,10.20%,27.00%,31.30%
31077,12.20%,9.10%,12.20%,24.50%,42.10%
31079,4.80%,11.40%,10.30%,28.40%,45.10%
31081,4.00%,12.40%,15.70%,25.20%,42.70%
31083,8.90%,15.80%,10.20%,30.20%,34.80%
31085,7.20%,15.10%,16.10%,27.30%,34.30%
31087,8.50%,16.20%,19.00%,26.30%,30.10%
31089,11.30%,13.40%,23.40%,15.40%,36.50%
31091,15.10%,12.30%,11.00%,27.90%,33.70%
31093,7.30%,10.40%,10.80%,28.10%,43.30%
31095,20.60%,5.00%,5.50%,30.60%,38.40%
31097,6.10%,17.50%,24.70%,20.70%,31.00%
31099,6.20%,12.70%,9.40%,31.80%,39.90%
31101,9.30%,15.00%,13.00%,23.50%,39.30%
31103,12.40%,9.00%,18.30%,27.30%,33.10%
31105,18.70%,17.30%,16.10%,22.80%,25.00%
31107,17.10%,17.80%,19.50%,15.70%,29.90%
31109,9.30%,6.10%,11.20%,26.40%,47.00%
31111,10.30%,14.50%,12.30%,28.70%,34.10%
31113,14.00%,13.30%,11.50%,30.80%,30.40%
31115,19.30%,8.40%,12.90%,27.60%,31.80%
31117,12.10%,14.70%,11.50%,25.70%,36.10%
31119,25.10%,8.20%,19.40%,15.60%,31.70%
31121,5.00%,12.50%,13.70%,23.40%,45.40%
31123,26.10%,11.90%,12.40%,27.30%,22.30%
31125,9.10%,11.10%,13.10%,20.70%,45.90%
31127,9.00%,14.80%,13.70%,29.30%,33.30%
31129,13.80%,13.20%,6.40%,34.90%,31.80%
31131,11.00%,9.70%,9.00%,27.50%,42.80%
31133,6.70%,14.70%,21.50%,25.40%,31.60%
31135,6.90%,16.40%,14.20%,23.30%,39.30%
31137,7.20%,12.60%,10.30%,33.60%,36.30%
31139,25.30%,11.00%,18.50%,14.20%,31.10%
31141,4.40%,9.40%,17.60%,25.40%,43.20%
31143,2.90%,16.70%,27.70%,17.40%,35.30%
31145,10.20%,12.30%,16.90%,30.80%,29.80%
31147,9.80%,18.50%,16.60%,25.20%,29.80%
31149,13.00%,10.20%,19.80%,22.20%,34.90%
31151,2.10%,7.00%,18.60%,21.70%,50.70%
31153,9.40%,6.90%,14.40%,26.00%,43.30%
31155,10.80%,9.00%,28.00%,22.30%,30.00%
31157,25.60%,13.20%,11.30%,24.50%,25.50%
31159,2.80%,4.60%,21.60%,10.90%,60.10%
31161,24.80%,8.30%,9.40%,33.30%,24.20%
31163,9.30%,9.90%,11.00%,30.70%,39.00%
31165,24.10%,16.10%,10.10%,29.20%,20.50%
31167,26.50%,8.00%,19.20%,15.40%,30.90%
31169,18.50%,7.10%,6.60%,42.90%,24.90%
31171,15.20%,12.00%,11.80%,30.20%,30.80%
31173,12.30%,15.30%,11.90%,18.70%,41.80%
31175,13.50%,9.00%,11.80%,27.80%,38.00%
31177,8.60%,11.60%,15.00%,26.10%,38.60%
31179,24.50%,12.00%,15.50%,14.10%,34.00%
31181,9.10%,16.70%,6.80%,28.60%,38.90%
31183,16.20%,8.40%,15.50%,20.10%,39.90%
31185,4.40%,16.80%,42.20%,18.40%,18.20%
32001,2.20%,9.30%,5.80%,15.30%,67.40%
32003,2.70%,3.20%,5.40%,14.50%,74.20%
32005,2.90%,5.50%,9.10%,23.80%,58.80%
32007,2.10%,4.60%,19.00%,36.40%,37.90%
32009,8.60%,0.40%,0.60%,3.20%,87.20%
32011,0.20%,5.40%,17.00%,38.60%,38.70%
32013,0.80%,4.20%,15.60%,6.90%,72.50%
32015,0.40%,8.50%,14.20%,18.20%,58.80%
32017,4.80%,1.90%,14.70%,17.70%,61.00%
32019,3.70%,6.90%,5.00%,17.30%,67.10%
32021,2.20%,1.80%,9.00%,11.50%,75.50%
32023,6.10%,3.80%,5.20%,18.30%,66.60%
32027,1.00%,1.30%,24.80%,3.80%,69.10%
32029,1.50%,3.80%,3.90%,12.60%,78.20%
32031,2.40%,2.50%,6.00%,21.50%,67.60%
32033,5.90%,1.60%,20.80%,42.10%,29.60%
32510,2.30%,6.40%,5.40%,27.40%,58.50%
33001,11.40%,2.00%,11.00%,15.80%,59.80%
33003,8.80%,3.50%,10.70%,17.20%,59.80%
33005,2.00%,7.50%,9.30%,20.20%,60.90%
33007,1.70%,5.00%,6.80%,16.90%,69.70%
33009,3.90%,2.60%,3.20%,19.90%,70.50%
33011,3.00%,6.90%,6.60%,16.40%,67.00%
33013,8.50%,6.70%,7.50%,15.80%,61.50%
33015,1.80%,5.70%,7.40%,21.20%,63.90%
33017,8.00%,7.40%,9.80%,19.00%,55.80%
33019,6.00%,10.30%,1.20%,25.20%,57.40%
34001,1.90%,4.10%,3.00%,17.60%,73.40%
34003,2.00%,1.40%,5.30%,15.10%,76.20%
34005,2.30%,2.00%,4.30%,13.40%,77.90%
34007,2.80%,0.50%,2.70%,13.70%,80.20%
34009,1.30%,1.10%,2.20%,21.40%,74.00%
34011,3.20%,0.60%,5.80%,14.20%,76.20%
34013,3.50%,1.40%,8.50%,18.30%,68.20%
34015,4.70%,1.00%,5.20%,14.50%,74.60%
34017,2.20%,1.90%,7.70%,21.10%,67.00%
34019,0.70%,3.80%,6.50%,8.50%,80.40%
34021,1.70%,1.40%,5.00%,16.20%,75.70%
34023,2.00%,1.60%,5.40%,14.60%,76.50%
34025,1.00%,2.20%,4.10%,16.40%,76.40%
34027,2.30%,1.80%,4.90%,19.10%,72.00%
34029,1.20%,5.60%,5.50%,10.40%,77.20%
34031,2.90%,1.50%,6.30%,13.80%,75.60%
34033,4.10%,4.30%,3.60%,15.40%,72.60%
34035,1.60%,2.70%,4.60%,12.00%,79.10%
34037,2.00%,2.60%,2.90%,20.50%,72.00%
34039,1.20%,1.10%,5.90%,20.20%,71.60%
34041,3.50%,2.00%,4.40%,15.20%,74.90%
35001,3.60%,1.40%,5.70%,13.50%,75.80%
35003,5.40%,3.90%,3.60%,10.90%,76.20%
35005,7.40%,4.00%,10.80%,14.40%,63.40%
35006,0.30%,5.90%,1.40%,8.50%,83.90%
35007,4.10%,1.90%,9.10%,10.60%,74.30%
35009,1.10%,12.90%,11.10%,20.90%,54.00%
35011,3.60%,6.90%,8.50%,9.80%,71.20%
35013,1.10%,4.40%,3.60%,9.70%,81.20%
35015,20.00%,7.00%,9.20%,23.90%,39.90%
35017,4.30%,3.10%,15.00%,20.50%,57.20%
35019,1.40%,4.90%,7.20%,9.80%,76.60%
35021,5.70%,15.20%,6.20%,11.50%,61.40%
35023,5.60%,3.70%,18.60%,15.30%,56.90%
35025,11.20%,2.40%,11.50%,33.10%,41.80%
35027,4.00%,1.20%,5.50%,16.20%,73.10%
35028,0.10%,4.10%,7.60%,17.30%,70.90%
35029,10.50%,4.60%,2.40%,11.00%,71.50%
35031,1.00%,6.00%,0.80%,20.20%,72.10%
35033,0.20%,2.70%,6.70%,9.80%,80.60%
35035,7.40%,3.00%,14.30%,15.80%,59.50%
35037,4.90%,15.20%,7.00%,15.90%,57.10%
35039,0.70%,5.40%,10.20%,16.20%,67.50%
35041,0.90%,15.40%,8.90%,14.60%,60.20%
35043,1.70%,1.50%,9.60%,11.00%,76.20%
35045,5.70%,1.50%,11.80%,25.50%,55.50%
35047,0.40%,2.00%,5.70%,11.90%,80.00%
35049,0.80%,1.60%,3.10%,14.30%,80.30%
35051,3.00%,3.90%,3.30%,23.90%,65.90%
35053,0.20%,0.80%,5.00%,19.30%,74.60%
35055,0.60%,4.10%,5.50%,11.30%,78.50%
35057,9.70%,0.50%,3.50%,16.70%,69.60%
35059,12.00%,11.80%,12.70%,24.20%,39.30%
35061,0.60%,0.90%,14.30%,19.50%,64.80%
36001,0.60%,1.20%,5.20%,14.20%,78.80%
36003,6.20%,1.50%,2.80%,12.40%,77.10%
36005,4.30%,1.30%,6.60%,13.60%,74.20%
36007,4.40%,2.80%,5.10%,6.60%,81.20%
36009,1.50%,1.30%,2.40%,15.60%,79.30%
36011,0.00%,3.30%,7.20%,16.20%,73.20%
36013,2.90%,2.40%,3.80%,20.60%,70.30%
36015,1.20%,4.60%,9.20%,25.60%,59.40%
36017,4.80%,4.50%,1.50%,15.60%,73.50%
36019,1.70%,2.40%,10.20%,8.40%,77.30%
36021,1.40%,0.40%,2.90%,10.40%,84.80%
36023,0.10%,6.20%,1.50%,11.80%,80.30%
36025,5.70%,5.30%,3.40%,11.20%,74.40%
36027,0.70%,0.90%,3.10%,9.90%,85.40%
36029,1.80%,1.40%,4.00%,16.10%,76.60%
36031,5.00%,5.00%,5.70%,10.70%,73.60%
36033,2.60%,2.70%,11.70%,9.70%,73.30%
36035,7.80%,1.50%,6.00%,11.80%,72.90%
36037,0.10%,1.70%,1.50%,18.70%,78.10%
36039,2.20%,1.40%,3.00%,14.60%,78.80%
36041,4.20%,2.40%,5.30%,22.90%,65.30%
36043,1.50%,2.60%,4.20%,15.80%,75.80%
36045,0.80%,5.80%,3.80%,11.60%,78.00%
36047,3.50%,3.40%,5.80%,14.10%,73.20%
36049,6.90%,3.60%,2.00%,11.00%,76.50%
36051,1.10%,3.40%,0.90%,11.10%,83.50%
36053,0.30%,1.50%,4.30%,10.70%,83.20%
36055,1.80%,1.20%,5.60%,12.90%,78.50%
36057,10.20%,0.50%,5.40%,9.00%,74.90%
36059,1.70%,1.80%,4.30%,14.20%,77.90%
36061,2.00%,1.60%,4.00%,12.10%,80.30%
36063,0.10%,2.80%,3.70%,20.40%,73.00%
36065,1.60%,2.50%,3.30%,15.30%,77.40%
36067,1.90%,0.80%,5.40%,16.30%,75.60%
36069,0.10%,1.20%,3.10%,10.70%,84.90%
36071,2.30%,0.80%,4.20%,18.00%,74.60%
36073,0.10%,3.30%,5.90%,21.30%,69.30%
36075,1.70%,0.30%,9.40%,11.90%,76.60%
36077,3.20%,6.50%,2.70%,9.60%,77.90%
36079,0.30%,1.80%,2.20%,10.50%,85.20%
36081,2.20%,2.30%,6.80%,13.60%,75.10%
36083,1.80%,1.80%,7.30%,14.00%,75.10%
36085,3.30%,1.50%,4.60%,17.80%,72.80%
36087,1.10%,1.80%,5.40%,19.50%,72.20%
36089,2.70%,2.90%,9.50%,14.90%,70.10%
36091,2.00%,1.20%,6.20%,15.60%,75.10%
36093,4.00%,0.70%,5.10%,6.00%,84.10%
36095,0.70%,2.00%,4.00%,10.80%,82.50%
36097,1.00%,0.90%,7.10%,23.90%,67.00%
36099,0.10%,1.20%,4.20%,8.20%,86.40%
36101,3.60%,3.10%,5.70%,20.10%,67.40%
36103,4.00%,1.90%,5.30%,10.60%,78.20%
36105,2.40%,3.00%,4.30%,8.50%,81.70%
36107,1.90%,1.10%,1.80%,11.40%,83.90%
36109,1.20%,1.00%,4.60%,9.80%,83.30%
36111,1.40%,2.30%,4.50%,10.00%,81.80%
36113,2.60%,1.80%,10.40%,13.00%,72.30%
36115,2.60%,2.70%,13.50%,13.80%,67.30%
36117,0.10%,1.60%,6.10%,13.20%,78.90%
36119,2.50%,1.80%,4.40%,11.50%,79.80%
36121,0.10%,2.40%,0.80%,10.70%,86.10%
36123,0.00%,0.60%,2.30%,8.70%,88.40%
37001,4.00%,7.30%,12.60%,17.50%,58.60%
37003,2.70%,2.30%,10.30%,27.20%,57.50%
37005,15.30%,6.70%,6.70%,21.00%,50.40%
37007,5.30%,6.20%,8.00%,16.30%,64.10%
37009,14.90%,2.60%,8.30%,28.70%,45.50%
37011,9.60%,1.00%,21.20%,17.30%,50.90%
37013,3.70%,8.00%,4.10%,21.90%,62.30%
37015,10.00%,4.00%,6.40%,21.40%,58.20%
37017,7.30%,2.30%,7.60%,10.40%,72.40%
37019,2.40%,1.80%,3.60%,24.80%,67.30%
37021,0.90%,2.30%,4.40%,23.00%,69.30%
37023,9.10%,5.60%,12.40%,18.90%,54.00%
37025,4.00%,2.20%,9.20%,27.00%,57.60%
37027,2.80%,3.10%,7.20%,19.90%,67.00%
37029,9.10%,2.50%,12.10%,18.80%,57.50%
37031,1.00%,6.70%,16.70%,19.70%,56.00%
37033,6.00%,3.50%,19.90%,17.90%,52.70%
37035,3.50%,7.00%,13.00%,21.40%,55.10%
37037,0.70%,2.50%,6.30%,13.90%,76.60%
37039,8.50%,10.90%,10.10%,14.70%,55.70%
37041,4.40%,1.10%,15.20%,29.60%,49.70%
37043,9.90%,9.10%,9.50%,16.90%,54.60%
37045,6.20%,12.10%,9.40%,15.10%,57.30%
37047,17.90%,4.30%,11.30%,15.50%,51.10%
37049,3.40%,6.80%,21.20%,21.50%,47.00%
37051,2.80%,4.70%,10.00%,17.50%,64.90%
37053,15.70%,2.10%,13.10%,16.70%,52.40%
37055,2.80%,0.50%,10.20%,19.40%,67.10%
37057,5.80%,8.50%,16.90%,13.40%,55.40%
37059,7.40%,6.70%,3.70%,14.00%,68.10%
37061,6.80%,4.40%,14.30%,12.60%,62.00%
37063,1.70%,1.40%,3.30%,10.40%,83.20%
37065,2.10%,3.70%,5.50%,18.40%,70.30%
37067,2.00%,2.20%,6.80%,18.30%,70.60%
37069,3.80%,3.00%,6.10%,12.70%,74.50%
37071,3.80%,7.90%,5.40%,19.70%,63.20%
37073,0.80%,2.20%,19.00%,21.00%,57.00%
37075,9.50%,7.20%,9.60%,23.60%,50.20%
37077,4.20%,3.30%,8.20%,10.70%,73.60%
37079,7.20%,6.10%,12.70%,24.00%,50.10%
37081,4.00%,5.50%,11.70%,19.90%,58.80%
37083,1.40%,0.70%,6.80%,20.00%,71.10%
37085,3.10%,6.90%,6.00%,12.90%,71.10%
37087,7.70%,3.90%,3.00%,18.80%,66.60%
37089,1.40%,2.80%,4.20%,20.10%,71.50%
37091,2.00%,0.70%,6.00%,21.70%,69.60%
37093,0.90%,4.70%,9.20%,23.60%,61.60%
37095,13.30%,3.00%,8.00%,25.90%,49.80%
37097,8.00%,5.10%,10.60%,21.90%,54.40%
37099,7.70%,6.50%,6.70%,17.60%,61.60%
37101,3.20%,2.20%,11.30%,15.10%,68.20%
37103,6.40%,5.10%,20.80%,23.30%,44.50%
37105,6.60%,10.20%,8.10%,11.50%,63.60%
37107,10.90%,4.10%,11.20%,22.80%,51.00%
37109,2.90%,9.00%,8.40%,23.40%,56.30%
37111,7.50%,11.40%,10.50%,14.30%,56.30%
37113,15.30%,3.90%,8.50%,18.20%,54.10%
37115,1.60%,3.40%,8.00%,17.80%,69.20%
37117,8.40%,8.90%,7.10%,15.00%,60.50%
37119,2.90%,3.70%,7.50%,16.60%,69.40%
37121,9.60%,3.50%,14.60%,15.40%,56.90%
37123,2.70%,5.60%,7.80%,18.40%,65.50%
37125,3.90%,10.50%,4.10%,23.70%,57.80%
37127,4.40%,3.20%,3.80%,21.20%,67.30%
37129,1.90%,3.20%,3.20%,25.00%,66.70%
37131,1.70%,0.30%,6.70%,20.10%,71.20%
37133,3.90%,3.90%,15.90%,25.40%,50.90%
37135,1.00%,2.00%,2.80%,14.20%,80.10%
37137,3.60%,5.70%,18.10%,24.30%,48.20%
37139,6.70%,2.10%,11.00%,23.80%,56.30%
37141,5.00%,3.50%,14.20%,16.90%,60.30%
37143,3.60%,1.40%,15.40%,29.90%,49.80%
37145,1.00%,0.80%,7.00%,16.60%,74.60%
37147,3.40%,6.50%,8.50%,20.40%,61.20%
37149,1.80%,11.50%,10.50%,26.30%,49.90%
37151,6.60%,7.80%,10.50%,13.80%,61.30%
37153,5.00%,3.90%,14.50%,15.30%,61.20%
37155,6.20%,3.10%,11.60%,16.50%,62.60%
37157,12.50%,9.40%,12.40%,11.10%,54.60%
37159,8.60%,6.50%,13.10%,17.50%,54.20%
37161,4.50%,17.00%,9.80%,15.60%,53.20%
37163,0.60%,0.50%,8.40%,19.70%,70.80%
37165,13.70%,2.90%,17.80%,19.90%,45.80%
37167,2.90%,8.30%,9.70%,21.70%,57.40%
37169,1.50%,3.40%,11.60%,24.70%,58.80%
37171,1.90%,4.10%,10.00%,38.20%,45.80%
37173,7.90%,6.10%,8.60%,24.70%,52.80%
37175,2.50%,1.30%,4.70%,22.40%,69.10%
37177,5.40%,1.60%,10.30%,30.10%,52.70%
37179,6.00%,4.50%,6.70%,21.30%,61.50%
37181,4.20%,3.10%,13.70%,15.90%,63.10%
37183,1.50%,2.00%,7.00%,16.80%,72.70%
37185,2.70%,2.40%,10.50%,15.80%,68.60%
37187,11.30%,5.30%,5.70%,30.10%,47.60%
37189,6.20%,1.00%,7.20%,36.30%,49.30%
37191,1.70%,1.80%,9.00%,13.20%,74.40%
37193,4.60%,7.10%,16.40%,20.80%,51.10%
